Mel_1,Mel_2,Mel_3,Mel_4,Mel_5,Mel_6,Mel_7,Mel_8,Mel_9,Mel_10,F0,Label
1715.8424,0.017638208344578743,0.015883777290582657,0.0019157456699758768,0.001397342188283801,0.0007988521247170866,0.00038922560634091496,0.00025604135589674115,0.00016812350077088922,4.633900607586838e-05,1.5938987417030148e-05,male-neutral
1886.7949,0.022338280454277992,0.015935875475406647,0.0025303554721176624,0.0017176663968712091,0.0008149180212058127,0.0002517207176424563,0.0002044463763013482,0.00016590606537647545,4.601392720360309e-05,1.7372689399053343e-05,male-neutral
1845.4971,0.024434655904769897,0.026857176795601845,0.005652185063809156,0.004215143155306578,0.0009701887611299753,0.0002151483786292374,0.00020701401808764786,0.00023845380928833038,0.00028582176310010254,9.085830970434472e-05,male-neutral
1778.0972,0.020337989553809166,0.024381885305047035,0.006894037593156099,0.002999495016410947,0.0010916503379121423,0.000176660978468135,0.00029760473989881575,0.00022579755750484765,0.00024327298160642385,7.282879232661799e-05,male-neutral
1840.7609,0.011984355747699738,0.0062769874930381775,0.0008962687570601702,0.00043124216608703136,0.0003590819542296231,0.0002030659088632092,0.00010491293505765498,3.7211393646430224e-05,2.755378227448091e-05,2.372860581090208e-05,male-calm
1856.7799,0.011590351350605488,0.0077771153301000595,0.0013428406091406941,0.0005163846653886139,0.00034012694959528744,0.00020520562247838825,9.936316928360611e-05,4.458642433746718e-05,1.8624308722792193e-05,1.4048972843738738e-05,male-calm
1834.1213,0.015848800539970398,0.01394337322562933,0.004328559618443251,0.003402265254408121,0.0010640152031555772,0.00018797982193063945,0.00019389748922549188,0.00010266330355079845,0.0006670533330179751,0.00014674504927825183,male-calm
1815.9849,0.019153404980897903,0.019971799105405807,0.00357264606282115,0.002482533920556307,0.0008059939718805254,0.00015525193884968758,0.00016858518938533962,9.280310769099742e-05,0.00019770411017816514,6.136643060017377e-05,male-calm
1821.426,0.007528497371822596,0.0033879424445331097,0.0006288667791523039,0.0003196360485162586,0.0001592732296558097,9.456221596337855e-05,5.220590901444666e-05,1.9895725927199237e-05,1.7258560546906665e-05,8.351185897481628e-06,male-calm
1878.51,0.009683448821306229,0.004046657122671604,0.0006009791977703571,0.00032827103859744966,0.00022048543905839324,7.242950960062444e-05,4.308817005949095e-05,1.8028587874141522e-05,5.0857957830885425e-05,3.84505074180197e-05,male-calm
1828.2643,0.010122331790626049,0.0057405936531722546,0.0008900193497538567,0.0006307345465756953,0.000344521104125306,6.998147728154436e-05,3.759939136216417e-05,0.0001254780509043485,0.0005443255649879575,9.828009206103161e-05,male-calm
1899.4944,0.01110493391752243,0.009126873686909676,0.0016301461728289723,0.0016522142104804516,0.0005541075370274484,0.0001031905339914374,7.291890506166965e-05,5.030113970860839e-05,0.00022109845303930342,0.00014562011347152293,male-calm
1806.1688,0.05950241908431053,0.05302339792251587,0.008287101984024048,0.002896091900765896,0.002401587553322315,0.0007754383841529489,0.00046309613389894366,0.0005597031558863819,0.00012155807780800387,5.010317181586288e-05,male-happy
1874.8042,0.0657799169421196,0.07112376391887665,0.01892871782183647,0.007352299988269806,0.004637615289539099,0.001827374566346407,0.0009257068741135299,0.0010254455264657736,8.468362648272887e-05,4.776961577590555e-05,male-happy
1875.0653,0.04887697845697403,0.03996776044368744,0.007296535186469555,0.0033389984164386988,0.0013866761000826955,0.0004209330363664776,0.0003542370686773211,0.00023700912424828857,9.767766459845006e-05,8.599741704529151e-05,male-happy
1769.9103,0.04202607646584511,0.03212848678231239,0.005965123884379864,0.0024134248960763216,0.001200434984639287,0.00042290904093533754,0.0004399324825499207,0.0004718779819086194,0.0005539418780244887,0.00027034958475269377,male-happy
1849.0901,0.09395359456539154,0.1184890940785408,0.05080469697713852,0.033791135996580124,0.011356494389474392,0.0023617716506123543,0.001186720677651465,0.0005063622957095504,0.00034544855589047074,0.00018488342175260186,male-happy
1713.8077,0.15121914446353912,0.19056981801986694,0.06276453286409378,0.09543472528457642,0.017702285200357437,0.006709238048642874,0.0029906572308391333,0.0016252612695097923,0.0002818299690261483,0.0002276234736200422,male-happy
1757.6655,0.26805490255355835,0.34477290511131287,0.06287963688373566,0.024728283286094666,0.028479332104325294,0.010650446638464928,0.006032010540366173,0.007526932284235954,0.0009600141202099621,0.001110254437662661,male-happy
1841.7953,0.18041671812534332,0.2933180630207062,0.08569386601448059,0.046228788793087006,0.025620318949222565,0.006715184543281794,0.0035988078452646732,0.004265723749995232,0.00204817159101367,0.001244621234945953,male-happy
1842.8656,0.01932038739323616,0.010570825077593327,0.001247340813279152,0.0006786084268242121,0.0004229755140841007,0.00023929268354550004,0.00018240635108668357,0.0001865164958871901,0.00018321379320695996,3.381685746717267e-05,male-sad
